S&P/ASX 200 Index (1 July 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
MQG,Macquarie Group Limited,Financials,"42,680,600,000",2.24,,,
MTS,Metcash Limited,Consumer Staples,"2,336,790,000",0.12,,,
MYX,Mayne Pharma Limited,Health Care,"807,298,000",0.04,,,
NAB,National Aust. Bank,Financials,"75,120,300,000",3.95,,,
NAN,Nanosonics Limited,Health Care,"1,685,820,000",0.09,,,
NCM,Newcrest Mining,Materials,"24,552,800,000",1.29,,,
NEA,Nearmap Limited,Industrials,"1,694,180,000",0.09,,,
NEC,Nine Entertainment,Consumer Discretionary,"3,197,610,000",0.17,,,
NHC,New Hope Corporation,Energy,"2,252,730,000",0.12,,,
NHF,Nib Holdings Limited,Financials,"3,494,080,000",0.18,,,
NSR,National Storage,Real Estate,"1,179,380,000",0.06,,,
NST,Northern Star,Materials,"7,451,250,000",0.39,,,
NUF,Nufarm Limited,Materials,"1,556,520,000",0.08,,,
NWH,NRW Holdings Limited,Industrials,"943,488,000",0.05,,,
NWS,News Corp Class B Voting Common Stock-Cdi 1:1,Consumer Discretionary,"911,113,000",0.05,,,
NXT,NEXTDC Limited,Information Technology,"2,230,320,000",0.12,,,
OML,Ooh!Media Limited,Consumer Discretionary,"933,349,000",0.05,,,
ORA,Orora Limited,Materials,"3,909,660,000",0.21,,,
ORE,Orocobre Limited,Materials,"737,932,000",0.04,,,
ORG,Origin Energy,Energy,"12,874,500,000",0.68,,,
ORI,Orica Limited,Materials,"7,701,410,000",0.4,,,
OSH,Oil Search Limited 10 Toea,Energy,"10,780,000,000",0.57,,,
OZL,OZ Minerals,Materials,"3,248,460,000",0.17,,,
PDL,Pendal Group Limited,Financials,"2,273,750,000",0.12,,,
PGH,Pact Group Holdings Limited,Materials,"959,742,000",0.05,,,
PLS,Pilbara Min Limited,Materials,"1,009,020,000",0.05,,,
PMV,Premier Investments,Consumer Discretionary,"2,403,380,000",0.13,,,
PNI,Pinnacle Investment,Financials,"800,963,000",0.04,,,
PPT,Perpetual Limited,Financials,"1,967,300,000",0.1,,,
PTM,Platinum Asset,Financials,"2,845,390,000",0.15,,,
QAN,Qantas Airways,Industrials,"8,480,730,000",0.45,,,
QBE,QBE Insurance Group,Financials,"15,632,100,000",0.82,,,
QUB,QUBE Holdings Limited,Industrials,"4,883,010,000",0.26,,,
REA,REA Group,Information Technology,"12,649,900,000",0.67,,,
RHC,Ramsay Health Care,Health Care,"14,598,300,000",0.77,,,
RIO,RIO Tinto Limited,Materials,"38,517,400,000",2.03,,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"7,205,890,000",0.38,,,
RRL,Regis Resources,Materials,"2,681,550,000",0.14,,,
RSG,Resolute Mining,Materials,"1,012,060,000",0.05,,,
RWC,Reliance Worldwide,Industrials,"2,781,130,000",0.15,,,
S32,SOUTH32 Limited,Materials,"15,964,100,000",0.84,,,
SAR,Saracen Mineral,Materials,"3,019,120,000",0.16,,,
SBM,ST Barbara Limited,Materials,"2,045,220,000",0.11,,,
SCG,Scentre Group,Real Estate,"20,417,300,000",1.07,,,
SCP,Sca Property Group FP Units Stapled Securities,Real Estate,"2,212,140,000",0.12,,,
SDA,Speedcast Int Limited,Telecommunication Services,"834,300,000",0.04,,,
SDF,Steadfast Group Limited,Financials,"2,783,560,000",0.15,,,
SEK,Seek Limited,Industrials,"7,448,550,000",0.39,,,
SFR,Sandfire Resources,Materials,"1,067,450,000",0.06,,,
SGM,Sims Metal MGMT Limited,Materials,"2,201,660,000",0.12,,,
SGP,Stockland,Real Estate,"9,942,750,000",0.52,,,
SGR,The Star Ent Group,Consumer Discretionary,"3,779,370,000",0.2,,,
SHL,Sonic Healthcare,Health Care,"12,842,400,000",0.68,,,
SIG,Sigma Health Limited,Health Care,"587,990,000",0.03,,,
SIQ,Smartgrp Corporation,Industrials,"1,100,000,000",0.06,,,
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,415,160,000",0.13,,,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"4,087,290,000",0.21,,,
SOL,Soul Pattinson (W.H),Energy,"5,264,300,000",0.28,,,
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"6,995,890,000",0.37,,,
SSM,Service Stream,Industrials,"1,128,550,000",0.06,,,
STO,Santos Limited,Energy,"14,747,000,000",0.78,,,
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,624,470,000",0.09,,,
SUN,Suncorp Group Limited,Financials,"17,490,800,000",0.92,,,
SVW,Seven Group Holdings,Industrials,"6,274,720,000",0.33,,,
SXL,STHN Cross Media,Consumer Discretionary,"961,267,000",0.05,,,
SYD,SYD Airport,Industrials,"18,146,900,000",0.95,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"8,985,870,000",0.47,,,
TCL,Transurban Group,Industrials,"39,433,900,000",2.07,,,
TGR,Tassal Group Limited,Consumer Staples,"874,405,000",0.05,,,
TLS,Telstra Corporation,Telecommunication Services,"45,789,200,000",2.41,,,
TNE,Technology One,Information Technology,"2,498,980,000",0.13,,,
TPM,TPG Telecom Limited,Telecommunication Services,"5,975,110,000",0.31,,,
TWE,Treasury Wine Estate,Consumer Staples,"10,729,000,000",0.56,,,
URW,Unibailrodawestfield Chess Depositary Interests 20:1,Real Estate,"3,294,160,000",0.17,,,
VCX,Vicinity Centres,Real Estate,"9,240,990,000",0.49,,,
VEA,Viva Energy Group,Energy,"4,102,970,000",0.22,,,
VOC,Vocus Group Limited,Telecommunication Services,"2,034,800,000",0.11,,,
VVR,Viva Energy REIT,Real Estate,"2,016,760,000",0.11,,,
WBC,Westpac Banking Corp,Financials,"98,974,400,000",5.2,,,
WEB,Webjet Limited,Consumer Discretionary,"1,844,170,000",0.1,,,
WES,Wesfarmers Limited,Consumer Discretionary,"40,999,700,000",2.16,,,
WHC,Whitehaven Coal,Energy,"3,755,330,000",0.2,,,
WOR,Worleyparsons Limited,Energy,"7,634,570,000",0.4,,,
WOW,Woolworths Group Limited,Consumer Staples,"41,826,300,000",2.2,,,
WPL,Woodside Petroleum,Energy,"34,038,500,000",1.79,,,
WSA,Western Areas Limited,Materials,"537,518,000",0.03,,,
WTC,Wisetech Global Limited,Information Technology,"8,816,240,000",0.46,,,
XRO,Xero Limited,Information Technology,"8,458,580,000",0.44,,,
