Code,Company name,Volume,Adj Close,price_change,pc_change,short_pred,long_pred
HLS,HEALIUS LIMITED,179763.0,2.95,0.0,0.0,SELL,SELL
HUB,HUB24 LIMITED,87314.0,11.4,0.26,2.33,SELL,SELL
IEL,IDP EDUCATION LIMITED,175847.0,18.78,0.05,0.27,BUY,BUY
ILU,ILUKA RESOURCES LIMITED,329010.0,10.7,-0.06,-0.56,SELL,BUY
IPL,INCITEC PIVOT LIMITED,794739.0,3.165,-0.005,-0.16,SELL,SELL
IGO,INDEPENDENCE GROUP NL,1838030.0,5.225,-0.015,-0.29,BUY,BUY
ING,INGHAMS GROUP LIMITED,271455.0,4.12,-0.02,-0.48,BUY,SELL
IAG,INSURANCE AUSTRALIA GROUP LIMITED,785824.0,8.475,-0.015,-0.18,BUY,BUY
IVC,INVOCARE LIMITED,101924.0,16.19,-0.1,-0.61,SELL,BUY
IFL,IOOF HOLDINGS LIMITED,533614.0,5.14,0.0,0.0,SELL,SELL
IPH,IPH LIMITED,298700.0,8.01,0.19,2.43,BUY,BUY
IRE,IRESS LIMITED,103942.0,13.455,-0.035,-0.26,SELL,SELL
JHX,JAMES HARDIE INDUSTRIES PLC,911204.0,18.5,-0.14,-0.75,SELL,BUY
JHG,JANUS HENDERSON GROUP PLC,24308.0,31.81,-0.23,-0.72,BUY,SELL
JBH,JB HI-FI LIMITED,137214.0,29.26,0.31,1.07,BUY,BUY
LLC,LENDLEASE GROUP,2726530.0,14.815,0.305,2.1,BUY,BUY
LNK,LINK ADMINISTRATION HOLDINGS LIMITED,1124839.0,5.095,0.005,0.1,SELL,SELL
LYC,LYNAS CORPORATION LIMITED,1777489.0,2.74,0.05,1.86,BUY,BUY
MQG,MACQUARIE GROUP LIMITED,174333.0,127.46,-0.44,-0.34,BUY,BUY
MFG,MAGELLAN FINANCIAL GROUP LIMITED,365616.0,56.71,-1.43,-2.46,BUY,BUY
MYX,MAYNE PHARMA GROUP LIMITED,3327690.0,0.48,-0.015,-3.03,SELL,SELL
MMS,MCMILLAN SHAKESPEARE LIMITED,42855.0,13.32,0.07,0.53,BUY,BUY
MPL,MEDIBANK PRIVATE LIMITED,1577506.0,3.59,0.0,0.0,BUY,BUY
MTS,METCASH LIMITED,826071.0,2.845,-0.025,-0.87,BUY,BUY
MIN,MINERAL RESOURCES LIMITED,695963.0,14.67,-0.07,-0.47,SELL,SELL
MGR,MIRVAC GROUP,3600604.0,3.185,0.005,0.16,SELL,BUY
MND,MONADELPHOUS GROUP LIMITED,80157.0,18.68,-0.07,-0.37,SELL,BUY
NAN,NANOSONICS LIMITED,253770.0,5.17,0.09,1.77,SELL,BUY
NAB,NATIONAL AUSTRALIA BANK LIMITED,1216081.0,26.88,0.03,0.11,BUY,BUY
NSR,NATIONAL STORAGE REIT,1508945.0,1.735,0.0,0.0,SELL,BUY
NEA,NEARMAP LTD,3788059.0,3.19,0.06,1.92,SELL,SELL
NHC,NEW HOPE CORPORATION LIMITED,1013340.0,2.55,-0.02,-0.78,SELL,SELL
NCM,NEWCREST MINING LIMITED,1160400.0,32.3,-0.47,-1.43,BUY,BUY
NWS,NEWS CORPORATION..,27842.0,19.28,-0.3,-1.53,SELL,BUY
NXT,NEXTDC LIMITED,389588.0,6.605,0.105,1.62,BUY,BUY
NHF,NIB HOLDINGS LIMITED,188269.0,7.895,0.095,1.22,BUY,BUY
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,2077581.0,1.9,-0.02,-1.04,SELL,BUY
NST,NORTHERN STAR RESOURCES LTD,1890172.0,12.595,0.095,0.76,BUY,BUY
NWH,NRW HOLDINGS LIMITED,500497.0,2.285,-0.015,-0.65,SELL,SELL
NUF,NUFARM LIMITED,573338.0,4.36,-0.02,-0.46,BUY,SELL
OSH,OIL SEARCH LIMITED,4864296.0,6.665,-0.175,-2.56,SELL,SELL
OML,OOH!MEDIA LIMITED,157021.0,4.245,-0.025,-0.59,BUY,BUY
ORI,ORICA LIMITED,181766.0,19.99,0.1,0.5,SELL,BUY
ORG,ORIGIN ENERGY LIMITED,981415.0,7.395,0.025,0.34,SELL,BUY
ORE,OROCOBRE LIMITED,233840.0,2.74,-0.01,-0.36,SELL,SELL
ORA,ORORA LIMITED,846342.0,3.33,0.0,0.0,BUY,BUY
OZL,OZ MINERALS LIMITED,320264.0,9.795,-0.035,-0.36,SELL,SELL
PGH,PACT GROUP HOLDINGS LTD,239713.0,2.665,-0.035,-1.3,BUY,BUY
PDL,PENDAL GROUP LIMITED,336067.0,7.335,-0.085,-1.15,BUY,SELL
PPT,PERPETUAL LIMITED,101399.0,38.16,-0.07,-0.18,SELL,SELL
PLS,PILBARA MINERALS LIMITED,4933733.0,0.47,-0.025,-5.05,SELL,SELL
PNI,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,53968.0,4.435,-0.015,-0.34,SELL,SELL
PTM,PLATINUM ASSET MANAGEMENT LIMITED,734809.0,4.74,-0.03,-0.63,SELL,SELL
PMV,PREMIER INVESTMENTS LIMITED,130596.0,16.21,0.2,1.25,BUY,BUY
QAN,QANTAS AIRWAYS LIMITED,761863.0,5.685,-0.005,-0.09,BUY,BUY
QBE,QBE INSURANCE GROUP LIMITED,749085.0,11.635,-0.005,-0.04,SELL,SELL
QUB,QUBE HOLDINGS LIMITED,842257.0,3.12,0.02,0.65,BUY,BUY
RHC,RAMSAY HEALTH CARE LIMITED,91233.0,72.43,1.07,1.5,SELL,BUY
REA,REA GROUP LTD,92382.0,97.57,0.37,0.38,SELL,BUY
RRL,REGIS RESOURCES LIMITED,1900624.0,6.015,-0.045,-0.74,BUY,BUY
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,1477470.0,3.54,-0.03,-0.84,SELL,SELL
RMD,RESMED INC,431952.0,17.7,0.05,0.28,BUY,BUY
RSG,RESOLUTE MINING LIMITED,6240525.0,1.6,0.005,0.31,BUY,BUY
RIO,RIO TINTO LIMITED,425979.0,103.14,0.48,0.47,SELL,BUY
SFR,SANDFIRE RESOURCES NL,303747.0,6.76,0.02,0.3,BUY,SELL
STO,SANTOS LIMITED,2208683.0,6.92,-0.04,-0.57,SELL,SELL
SAR,SARACEN MINERAL HOLDINGS LIMITED,2405411.0,4.01,0.06,1.52,BUY,BUY
SCG,SCENTRE GROUP,6032413.0,3.915,-0.005,-0.13,SELL,BUY
SEK,SEEK LIMITED,488453.0,21.65,0.42,1.98,BUY,BUY
SSM,SERVICE STREAM LIMITED,758496.0,2.96,0.07,2.42,BUY,BUY
SVW,SEVEN GROUP HOLDINGS LIMITED,157518.0,17.67,-0.04,-0.23,SELL,SELL
SCP,SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP,617735.0,2.43,-0.03,-1.22,SELL,SELL
SIG,SIGMA HEALTHCARE LIMITED,193415.0,0.59,-0.005,-0.84,BUY,BUY
SGM,SIMS METAL MANAGEMENT LIMITED,126653.0,10.005,-0.115,-1.14,SELL,SELL
SKC,SKYCITY ENTERTAINMENT GROUP LIMITED,42774.0,3.785,-0.015,-0.39,BUY,BUY
SIQ,SMARTGROUP CORPORATION LTD,157802.0,9.135,-0.065,-0.71,BUY,BUY
SHL,SONIC HEALTHCARE LIMITED,182001.0,27.81,-0.12,-0.43,BUY,BUY
S32,SOUTH32 LIMITED,10707122.0,3.015,-0.005,-0.17,SELL,SELL
SXL,SOUTHERN CROSS MEDIA GROUP LIMITED,321350.0,1.275,-0.01,-0.78,SELL,BUY
SKI,SPARK INFRASTRUCTURE GROUP,573017.0,2.385,0.025,1.06,SELL,BUY
SPK,SPARK NEW ZEALAND LIMITED,129717.0,3.73,-0.01,-0.27,SELL,BUY
SDA,SPEEDCAST INTERNATIONAL LIMITED,2767516.0,1.84,0.04,2.22,SELL,SELL
SBM,ST BARBARA LIMITED,3105469.0,3.385,0.015,0.45,BUY,BUY
SDF,STEADFAST GROUP LIMITED,850891.0,3.58,0.03,0.85,BUY,BUY
SGP,STOCKLAND,1792261.0,4.565,-0.025,-0.54,BUY,BUY
SUN,SUNCORP GROUP LIMITED,1022177.0,13.115,0.015,0.11,SELL,SELL
SUL,SUPER RETAIL GROUP LIMITED,96138.0,9.495,0.075,0.8,BUY,BUY
SYD,SYDNEY AIRPORT,907246.0,7.985,0.015,0.19,SELL,BUY
TAH,TABCORP HOLDINGS LIMITED,1291570.0,4.61,-0.01,-0.22,BUY,SELL
TGR,TASSAL GROUP LIMITED,956406.0,4.775,0.055,1.17,SELL,SELL
TNE,TECHNOLOGY ONE LIMITED,226315.0,7.785,0.015,0.19,SELL,SELL
TLS,TELSTRA CORPORATION LIMITED.,6256492.0,3.795,0.035,0.93,SELL,BUY
A2M,THE A2 MILK COMPANY LIMITED,902294.0,16.06,0.08,0.5,BUY,BUY
SGR,THE STAR ENTERTAINMENT GROUP LIMITED,757948.0,4.115,0.015,0.37,SELL,SELL
TPM,TPG TELECOM LIMITED,120115.0,6.49,0.02,0.31,SELL,SELL
TCL,TRANSURBAN GROUP,655091.0,15.04,0.1,0.67,BUY,BUY
TWE,TREASURY WINE ESTATES LIMITED,940824.0,16.31,0.21,1.3,BUY,BUY
URW,UNIBAIL-RODAMCO-WESTFIELD,180049.0,10.1,-0.03,-0.3,SELL,SELL
VCX,VICINITY CENTRES,2683781.0,2.575,-0.045,-1.72,BUY,BUY
VEA,VIVA ENERGY GROUP LIMITED,385077.0,2.18,-0.01,-0.46,BUY,SELL
VVR,VIVA ENERGY REIT,131016.0,2.625,0.015,0.57,SELL,BUY
VOC,VOCUS GROUP LIMITED,340574.0,2.97,0.02,0.68,SELL,SELL
SOL,WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,129733.0,22.06,0.06,0.27,SELL,SELL
WEB,WEBJET LIMITED,171003.0,13.03,-0.07,-0.53,SELL,SELL
WES,WESFARMERS LIMITED,430812.0,38.345,-0.055,-0.14,BUY,BUY
WSA,WESTERN AREAS LIMITED,5267355.0,2.315,0.065,2.89,BUY,BUY
WBC,WESTPAC BANKING CORPORATION,2118225.0,27.58,-0.18,-0.65,SELL,BUY
WHC,WHITEHAVEN COAL LIMITED,2844521.0,3.62,-0.08,-2.16,SELL,SELL
WTC,WISETECH GLOBAL LIMITED,179170.0,30.51,1.05,3.56,BUY,BUY
WPL,WOODSIDE PETROLEUM LTD,1721384.0,34.23,-0.02,-0.06,SELL,SELL
WOW,WOOLWORTHS GROUP LIMITED,539466.0,34.09,-0.2,-0.58,BUY,BUY
WOR,WORLEYPARSONS LIMITED,208704.0,14.58,-0.02,-0.14,SELL,BUY
XRO,XERO LIMITED,107232.0,60.3,0.19,0.32,SELL,BUY
