Code,Company name,GICS industry group,High,Low,Open,Close,Volume,Adj Close,moving_20,moving_100,std,price_change,pc_change,short_pred,long_pred
AOG,AVEO GROUP,Real Estate,1.9600000381469727,1.9170000553131104,1.9500000476837158,1.9249999523162842,2120815.0,1.925,1.957911640405655,1.9811286425590515,0.6592533754862772,-0.025,-1.28,SELL,SELL
BOQ,BANK OF QUEENSLAND LIMITED.,Banks,9.175000190734863,9.069999694824219,9.069999694824219,9.119999885559082,1177297.0,9.12,9.386999988555909,9.071817331314087,2.242830652541202,0.05,0.55,SELL,BUY
BAP,BAPCOR LIMITED,Retailing,6.25,6.119999885559082,6.190000057220459,6.21999979019165,679737.0,6.22,5.911499977111816,5.776649994850159,1.5685677549441392,0.03,0.48,BUY,BUY
BPT,BEACH ENERGY LIMITED,Energy,1.899999976158142,1.8350000381469727,1.850000023841858,1.8949999809265137,5136056.0,1.895,1.9360000014305114,2.0051504814624788,0.42201166143860325,0.045,2.43,SELL,SELL
BGA,BEGA CHEESE LIMITED,"Food, Beverage & Tobacco",4.525000095367432,4.409999847412109,4.440000057220459,4.5,2448274.0,4.5,4.676500010490417,4.853642072677612,1.8160534598262315,0.06,1.35,SELL,SELL
BAL,BELLAMY'S AUSTRALIA LIMITED,"Food, Beverage & Tobacco",9.140000343322754,8.960000038146973,8.979999542236328,9.140000343322754,699944.0,9.14,8.486999940872192,9.448199996948242,4.601561085215092,0.16,1.78,BUY,SELL
BEN,BENDIGO AND ADELAIDE BANK LIMITED,Banks,11.529999732971191,11.359999656677246,11.369999885559082,11.479999542236328,836704.0,11.48,11.474000072479248,10.560617742538453,2.083686694192952,0.11,0.97,BUY,BUY
BHP,BHP GROUP LIMITED,Materials,41.189998626708984,40.79999923706055,40.900001525878906,41.060001373291016,3169387.0,41.06,41.32400035858154,38.681691284179685,5.0428141667518105,0.16,0.39,SELL,BUY
BIN,BINGO INDUSTRIES LIMITED,Commercial & Professional Services,2.5399999618530273,2.430000066757202,2.450000047683716,2.5,2655905.0,2.5,2.3299999713897703,1.8660890936851502,0.4313269393537928,0.05,2.04,BUY,BUY
BKL,BLACKMORES LIMITED,Household & Personal Products,90.7699966430664,89.91000366210938,90.51000213623047,90.0,38362.0,90.0,90.82000007629395,91.90456016540527,52.37514509336917,-0.51,-0.56,SELL,SELL
BSL,BLUESCOPE STEEL LIMITED,Materials,12.630000114440918,12.260000228881836,12.300000190734863,12.619999885559082,2626862.0,12.62,12.03449993133545,12.832516021728516,4.500051612934767,0.32,2.6,BUY,SELL
BLD,BORAL LIMITED.,Materials,5.590000152587891,5.400000095367432,5.429999828338623,5.570000171661377,3700391.0,5.57,5.334499931335449,5.00336259841919,1.298496285619884,0.14,2.58,BUY,BUY
BXB,BRAMBLES LIMITED,Commercial & Professional Services,12.5,12.390000343322754,12.40999984741211,12.489999771118164,2437445.0,12.49,12.525,12.211868295669555,2.4966823755275165,0.08,0.64,SELL,BUY
BVS,BRAVURA SOLUTIONS LIMITED.,Software & Services,4.760000228881836,4.570000171661377,4.599999904632568,4.71999979019165,1201859.0,4.72,4.709000015258789,5.35428936958313,1.485603894967373,0.12,2.61,BUY,SELL
BRG,BREVILLE GROUP LIMITED,Consumer Durables & Apparel,18.135000228881836,17.860000610351562,17.950000762939453,17.93000030517578,77041.0,17.93,17.060500049591063,17.189400033950804,3.886621461845186,-0.02,-0.11,BUY,BUY
